phenomenon_time,id_aq_legal_station,label_no
2019-09-14 00:00:00,9625,2.87
2019-09-14 00:01:00,9625,2.94
2019-09-14 00:02:00,9625,3
2019-09-14 00:03:00,9625,3
2019-09-14 00:04:00,9625,3.12
2019-09-14 00:05:00,9625,3.12
2019-09-14 00:06:00,9625,3.12
2019-09-14 00:07:00,9625,3.12
2019-09-14 00:08:00,9625,3.12
2019-09-14 00:09:00,9625,3.02
2019-09-14 00:10:00,9625,3
2019-09-14 00:11:00,9625,2.98
2019-09-14 00:12:00,9625,2.92
2019-09-14 00:13:00,9625,2.87
2019-09-14 00:14:00,9625,2.85
2019-09-14 00:15:00,9625,2.77
2019-09-14 00:16:00,9625,2.83
2019-09-14 00:17:00,9625,2.75
2019-09-14 00:18:00,9625,2.75
2019-09-14 00:19:00,9625,2.73
2019-09-14 00:20:00,9625,2.67
2019-09-14 00:21:00,9625,2.62
2019-09-14 00:22:00,9625,2.52
2019-09-14 00:23:00,9625,2.54
2019-09-14 00:24:00,9625,2.5
2019-09-14 00:25:00,9625,2.5
2019-09-14 00:26:00,9625,2.42
2019-09-14 00:27:00,9625,2.48
2019-09-14 00:28:00,9625,2.54
2019-09-14 00:29:00,9625,2.6
2019-09-14 00:30:00,9625,2.69
2019-09-14 00:31:00,9625,2.75
2019-09-14 00:32:00,9625,2.75
2019-09-14 00:33:00,9625,2.96
2019-09-14 00:34:00,9625,2.94
2019-09-14 00:35:00,9625,2.92
2019-09-14 00:36:00,9625,2.92
2019-09-14 00:37:00,9625,2.85
2019-09-14 00:38:00,9625,2.83
2019-09-14 00:39:00,9625,2.9
2019-09-14 00:40:00,9625,2.83
2019-09-14 00:41:00,9625,2.75
2019-09-14 00:42:00,9625,2.67
2019-09-14 00:43:00,9625,2.69
2019-09-14 00:44:00,9625,2.71
2019-09-14 00:45:00,9625,2.62
2019-09-14 00:46:00,9625,2.62
2019-09-14 00:47:00,9625,2.62
2019-09-14 00:48:00,9625,2.62
2019-09-14 00:49:00,9625,2.62
2019-09-14 00:50:00,9625,2.62
2019-09-14 00:51:00,9625,2.56
2019-09-14 00:52:00,9625,2.5
2019-09-14 00:53:00,9625,2.4
2019-09-14 00:54:00,9625,2.37
2019-09-14 00:55:00,9625,2.37
2019-09-14 00:56:00,9625,2.37
2019-09-14 00:57:00,9625,2.35
2019-09-14 00:58:00,9625,2.37
2019-09-14 00:59:00,9625,2.44
2019-09-14 01:00:00,9625,2.5
2019-09-14 01:01:00,9625,2.5
2019-09-14 01:02:00,9625,2.44
2019-09-14 01:03:00,9625,2.48
2019-09-14 01:04:00,9625,2.48
2019-09-14 01:05:00,9625,2.44
2019-09-14 01:06:00,9625,2.37
2019-09-14 01:07:00,9625,2.4
2019-09-14 01:08:00,9625,2.48
2019-09-14 01:09:00,9625,2.37
2019-09-14 01:10:00,9625,2.44
2019-09-14 01:11:00,9625,2.37
2019-09-14 01:12:00,9625,2.37
2019-09-14 01:13:00,9625,2.46
2019-09-14 01:14:00,9625,2.48
2019-09-14 01:15:00,9625,2.5
2019-09-14 01:16:00,9625,2.5
2019-09-14 01:17:00,9625,2.56
2019-09-14 01:18:00,9625,2.6
2019-09-14 01:19:00,9625,2.62
2019-09-14 01:20:00,9625,2.54
2019-09-14 01:21:00,9625,2.54
2019-09-14 01:22:00,9625,2.5
2019-09-14 01:23:00,9625,2.5
2019-09-14 01:24:00,9625,2.52
2019-09-14 01:25:00,9625,2.5
2019-09-14 01:26:00,9625,2.5
2019-09-14 01:27:00,9625,2.48
2019-09-14 01:28:00,9625,2.37
2019-09-14 01:29:00,9625,2.35
2019-09-14 01:30:00,9625,2.31
2019-09-14 01:31:00,9625,2.25
2019-09-14 01:32:00,9625,2.25
2019-09-14 01:33:00,9625,2.31
2019-09-14 01:34:00,9625,2.37
2019-09-14 01:35:00,9625,2.48
2019-09-14 01:36:00,9625,2.62
2019-09-14 01:37:00,9625,2.67
2019-09-14 01:38:00,9625,2.81
2019-09-14 01:39:00,9625,2.87
2019-09-14 01:40:00,9625,2.87
2019-09-14 01:41:00,9625,2.98
2019-09-14 01:42:00,9625,3.02
2019-09-14 01:43:00,9625,3
2019-09-14 01:44:00,9625,3.02
2019-09-14 01:45:00,9625,3
2019-09-14 01:46:00,9625,3
2019-09-14 01:47:00,9625,2.92
2019-09-14 01:48:00,9625,0
2019-09-14 01:49:00,9625,0
2019-09-14 01:50:00,9625,0
2019-09-14 01:51:00,9625,0
2019-09-14 01:52:00,9625,0
2019-09-14 01:53:00,9625,0
2019-09-14 01:54:00,9625,0
2019-09-14 01:55:00,9625,0
2019-09-14 01:56:00,9625,0
2019-09-14 01:57:00,9625,0
2019-09-14 01:58:00,9625,0
2019-09-14 01:59:00,9625,0
2019-09-14 02:00:00,9625,0
2019-09-14 02:01:00,9625,0
2019-09-14 02:02:00,9625,0
2019-09-14 02:03:00,9625,0
2019-09-14 02:04:00,9625,0
2019-09-14 02:05:00,9625,0
2019-09-14 02:06:00,9625,0
2019-09-14 02:07:00,9625,0
2019-09-14 02:08:00,9625,0
2019-09-14 02:09:00,9625,0
2019-09-14 02:10:00,9625,0
2019-09-14 02:11:00,9625,0
2019-09-14 02:12:00,9625,0
2019-09-14 02:13:00,9625,0
2019-09-14 02:14:00,9625,2.87
2019-09-14 02:15:00,9625,3
2019-09-14 02:16:00,9625,3
2019-09-14 02:17:00,9625,2.98
2019-09-14 02:18:00,9625,2.87
2019-09-14 02:19:00,9625,2.87
2019-09-14 02:20:00,9625,2.85
2019-09-14 02:21:00,9625,2.75
2019-09-14 02:22:00,9625,2.75
2019-09-14 02:23:00,9625,2.62
2019-09-14 02:24:00,9625,2.69
2019-09-14 02:25:00,9625,2.75
2019-09-14 02:26:00,9625,2.75
2019-09-14 02:27:00,9625,2.75
2019-09-14 02:28:00,9625,2.75
2019-09-14 02:29:00,9625,2.77
2019-09-14 02:30:00,9625,2.77
2019-09-14 02:31:00,9625,2.75
2019-09-14 02:32:00,9625,2.62
2019-09-14 02:33:00,9625,2.54
2019-09-14 02:34:00,9625,2.48
2019-09-14 02:35:00,9625,2.37
2019-09-14 02:36:00,9625,2.29
2019-09-14 02:37:00,9625,2.25
2019-09-14 02:38:00,9625,2.37
2019-09-14 02:39:00,9625,2.5
2019-09-14 03:00:00,9625,3.12
2019-09-14 03:01:00,9625,3.25
2019-09-14 03:02:00,9625,3.33
2019-09-14 03:03:00,9625,3.27
2019-09-14 03:04:00,9625,3.23
2019-09-14 03:05:00,9625,3.12
2019-09-14 03:06:00,9625,3.12
2019-09-14 03:07:00,9625,3.08
2019-09-14 03:08:00,9625,3.04
2019-09-14 03:09:00,9625,3.02
2019-09-14 03:10:00,9625,3.08
2019-09-14 03:11:00,9625,3.12
2019-09-14 03:12:00,9625,3.23
2019-09-14 03:13:00,9625,3.25
2019-09-14 03:14:00,9625,3.25
2019-09-14 03:15:00,9625,3.25
2019-09-14 03:16:00,9625,3.29
2019-09-14 03:17:00,9625,3.31
2019-09-14 03:18:00,9625,3.38
2019-09-14 03:19:00,9625,3.42
2019-09-14 03:20:00,9625,3.42
2019-09-14 03:21:00,9625,3.44
2019-09-14 03:22:00,9625,3.54
2019-09-14 03:23:00,9625,3.65
2019-09-14 03:24:00,9625,3.77
2019-09-14 03:25:00,9625,3.85
2019-09-14 03:26:00,9625,3.9
2019-09-14 03:27:00,9625,4
2019-09-14 03:28:00,9625,3.98
2019-09-14 03:29:00,9625,4
2019-09-14 03:30:00,9625,3.92
2019-09-14 03:31:00,9625,3.77
2019-09-14 03:32:00,9625,3.75
2019-09-14 03:33:00,9625,3.65
2019-09-14 03:34:00,9625,3.6
2019-09-14 03:35:00,9625,3.6
2019-09-14 03:36:00,9625,3.52
2019-09-14 03:37:00,9625,3.5
2019-09-14 03:38:00,9625,3.6
2019-09-14 03:39:00,9625,3.63
2019-09-14 03:40:00,9625,3.75
2019-09-14 03:41:00,9625,3.75
2019-09-14 03:42:00,9625,3.67
2019-09-14 03:43:00,9625,3.75
2019-09-14 03:44:00,9625,3.71
2019-09-14 03:45:00,9625,3.56
2019-09-14 03:46:00,9625,3.54
2019-09-14 03:47:00,9625,3.33
2019-09-14 03:48:00,9625,3.35
2019-09-14 03:49:00,9625,3.35
2019-09-14 03:50:00,9625,3.25
2019-09-14 03:51:00,9625,3.25
2019-09-14 03:52:00,9625,3.17
2019-09-14 03:53:00,9625,3.23
2019-09-14 03:54:00,9625,3.25
2019-09-14 03:55:00,9625,3.19
2019-09-14 03:56:00,9625,3.21
2019-09-14 03:57:00,9625,3.25
2019-09-14 03:58:00,9625,3.35
2019-09-14 03:59:00,9625,3.46
2019-09-14 04:00:00,9625,3.46
2019-09-14 04:01:00,9625,3.56
2019-09-14 04:02:00,9625,3.65
2019-09-14 04:03:00,9625,3.75
2019-09-14 04:04:00,9625,3.83
2019-09-14 04:05:00,9625,3.87
2019-09-14 04:06:00,9625,3.96
2019-09-14 04:07:00,9625,3.96
2019-09-14 04:08:00,9625,3.92
2019-09-14 04:09:00,9625,3.81
2019-09-14 04:10:00,9625,3.73
2019-09-14 04:11:00,9625,3.63
2019-09-14 04:12:00,9625,3.5
2019-09-14 04:13:00,9625,3.5
2019-09-14 04:14:00,9625,3.4
2019-09-14 04:15:00,9625,3.46
2019-09-14 04:16:00,9625,3.5
2019-09-14 04:17:00,9625,3.44
2019-09-14 04:18:00,9625,3.38
2019-09-14 04:19:00,9625,3.48
2019-09-14 04:20:00,9625,3.5
2019-09-14 04:21:00,9625,3.48
2019-09-14 04:22:00,9625,3.29
2019-09-14 04:23:00,9625,3.4
2019-09-14 04:24:00,9625,3.5
2019-09-14 04:25:00,9625,3.54
2019-09-14 04:26:00,9625,3.63
2019-09-14 04:27:00,9625,3.67
2019-09-14 04:28:00,9625,3.85
2019-09-14 04:29:00,9625,4
2019-09-14 04:30:00,9625,3.92
2019-09-14 04:31:00,9625,3.87
2019-09-14 04:32:00,9625,3.92
2019-09-14 04:33:00,9625,4
2019-09-14 04:34:00,9625,4.1
2019-09-14 04:35:00,9625,4.1
2019-09-14 04:36:00,9625,4.29
2019-09-14 04:37:00,9625,4.52
2019-09-14 04:38:00,9625,4.69
2019-09-14 04:39:00,9625,4.71
2019-09-14 04:40:00,9625,4.67
2019-09-14 04:41:00,9625,4.54
2019-09-14 04:42:00,9625,4.4
2019-09-14 04:43:00,9625,4.23
2019-09-14 04:44:00,9625,4.12
2019-09-14 04:45:00,9625,4.02
2019-09-14 05:36:00,9625,9.15
2019-09-14 05:37:00,9625,9.13
2019-09-14 06:54:00,9625,12.37
2019-09-14 06:55:00,9625,11.73
2019-09-14 06:56:00,9625,11.1
2019-09-14 06:57:00,9625,10.38
2019-09-14 06:58:00,9625,9.62
2019-09-14 06:59:00,9625,8.87
2019-09-14 07:00:00,9625,8.5
2019-09-14 07:01:00,9625,8.19
2019-09-14 07:02:00,9625,7.83
2019-09-14 08:05:00,9625,4.15
2019-09-14 08:06:00,9625,4.12
2019-09-14 08:07:00,9625,4.12
2019-09-14 08:08:00,9625,4.12
2019-09-14 08:09:00,9625,4.12
2019-09-14 08:10:00,9625,4.04
2019-09-14 08:11:00,9625,3.94
2019-09-14 08:12:00,9625,3.87
2019-09-14 08:13:00,9625,3.92
2019-09-14 08:14:00,9625,3.87
2019-09-14 08:15:00,9625,3.87
2019-09-14 08:16:00,9625,3.79
2019-09-14 08:17:00,9625,3.75
2019-09-14 08:18:00,9625,3.85
2019-09-14 08:19:00,9625,3.87
2019-09-14 08:20:00,9625,3.81
2019-09-14 08:21:00,9625,3.81
2019-09-14 08:22:00,9625,3.75
2019-09-14 08:23:00,9625,3.75
2019-09-14 08:24:00,9625,3.75
2019-09-14 08:25:00,9625,3.75
2019-09-14 08:26:00,9625,3.71
2019-09-14 08:27:00,9625,3.73
2019-09-14 08:28:00,9625,3.73
2019-09-14 08:29:00,9625,3.65
2019-09-14 08:30:00,9625,3.75
2019-09-14 08:31:00,9625,3.63
2019-09-14 08:32:00,9625,3.5
2019-09-14 08:33:00,9625,3.48
2019-09-14 08:34:00,9625,3.38
2019-09-14 08:35:00,9625,3.27
2019-09-14 08:36:00,9625,3.31
2019-09-14 08:37:00,9625,3.27
2019-09-14 08:38:00,9625,3.67
2019-09-14 08:39:00,9625,5.23
2019-09-14 08:40:00,9625,5.48
2019-09-14 08:41:00,9625,5.65
2019-09-14 08:42:00,9625,5.75
2019-09-14 08:43:00,9625,5.77
2019-09-14 08:44:00,9625,5.77
2019-09-14 08:45:00,9625,5.12
2019-09-14 08:46:00,9625,3.87
2019-09-14 08:47:00,9625,3.67
2019-09-14 08:48:00,9625,3.54
2019-09-14 08:49:00,9625,3.5
2019-09-14 08:50:00,9625,3.46
2019-09-14 08:51:00,9625,3.42
2019-09-14 08:52:00,9625,3.54
2019-09-14 08:53:00,9625,3.54
2019-09-14 08:54:00,9625,3.6
2019-09-14 08:55:00,9625,3.63
2019-09-14 08:56:00,9625,3.67
2019-09-14 08:57:00,9625,3.67
2019-09-14 08:58:00,9625,3.73
2019-09-14 08:59:00,9625,3.56
2019-09-14 09:00:00,9625,3.46
2019-09-14 09:01:00,9625,3.4
2019-09-14 09:50:00,9625,2.67
2019-09-14 09:51:00,9625,2.67
2019-09-14 09:52:00,9625,2.71
2019-09-14 09:53:00,9625,2.75
2019-09-14 09:54:00,9625,2.85
2019-09-14 09:55:00,9625,2.92
2019-09-14 09:56:00,9625,2.96
2019-09-14 09:57:00,9625,3
2019-09-14 09:58:00,9625,3
2019-09-14 09:59:00,9625,2.98
2019-09-14 10:30:00,9625,2.04
2019-09-14 10:31:00,9625,2
2019-09-14 10:32:00,9625,2
2019-09-14 10:33:00,9625,2
2019-09-14 10:34:00,9625,1.92
2019-09-14 10:35:00,9625,1.96
2019-09-14 10:36:00,9625,2
2019-09-14 10:37:00,9625,2.13
2019-09-14 10:38:00,9625,2.13
2019-09-14 10:39:00,9625,2.19
2019-09-14 10:40:00,9625,2.33
2019-09-14 10:41:00,9625,2.44
2019-09-14 10:42:00,9625,2.46
2019-09-14 10:43:00,9625,2.44
2019-09-14 10:44:00,9625,2.5
2019-09-14 10:45:00,9625,2.58
2019-09-14 10:46:00,9625,2.6
2019-09-14 10:47:00,9625,2.54
2019-09-14 23:27:00,9625,3.48
2019-09-14 23:28:00,9625,3.46
2019-09-11 00:00:00,9625,2.92
2019-09-11 00:01:00,9625,2.87
2019-09-11 00:02:00,9625,2.87
2019-09-11 00:03:00,9625,2.87
2019-09-11 00:04:00,9625,2.92
2019-09-11 00:05:00,9625,2.79
2019-09-11 00:06:00,9625,2.83
2019-09-11 00:07:00,9625,2.81
2019-09-11 00:08:00,9625,2.75
2019-09-11 00:09:00,9625,2.75
2019-09-11 00:10:00,9625,2.75
2019-09-11 00:11:00,9625,2.75
2019-09-11 00:12:00,9625,2.69
2019-09-11 00:13:00,9625,2.62
2019-09-11 00:14:00,9625,2.62
2019-09-11 00:15:00,9625,2.75
2019-09-11 00:16:00,9625,2.79
2019-09-11 00:17:00,9625,2.75
2019-09-11 00:18:00,9625,2.81
2019-09-11 00:19:00,9625,2.87
2019-09-11 00:20:00,9625,2.9
2019-09-11 00:21:00,9625,2.87
2019-09-11 00:22:00,9625,2.85
2019-09-11 00:23:00,9625,2.87
2019-09-11 00:24:00,9625,2.87
2019-09-11 00:25:00,9625,2.71
2019-09-11 00:26:00,9625,2.73
2019-09-11 00:27:00,9625,2.65
2019-09-11 00:28:00,9625,2.65
2019-09-11 00:29:00,9625,2.62
2019-09-11 00:30:00,9625,2.62
2019-09-11 00:31:00,9625,2.62
2019-09-11 00:32:00,9625,2.75
2019-09-11 00:33:00,9625,2.65
2019-09-11 00:34:00,9625,2.54
2019-09-11 00:35:00,9625,2.5
2019-09-11 00:36:00,9625,2.48
2019-09-11 00:37:00,9625,2.48
2019-09-11 00:38:00,9625,2.48
2019-09-11 00:39:00,9625,2.5
2019-09-11 00:40:00,9625,2.58
2019-09-11 00:41:00,9625,2.62
2019-09-11 00:42:00,9625,2.62
2019-09-11 00:43:00,9625,2.75
2019-09-11 00:44:00,9625,2.77
2019-09-11 00:45:00,9625,2.87
2019-09-11 00:46:00,9625,2.87
2019-09-11 00:47:00,9625,2.87
2019-09-11 00:48:00,9625,0
2019-09-11 00:49:00,9625,0
2019-09-11 00:50:00,9625,0
2019-09-11 00:51:00,9625,0
2019-09-11 00:52:00,9625,0
2019-09-11 00:53:00,9625,0
2019-09-11 00:54:00,9625,0
2019-09-11 00:55:00,9625,0
2019-09-11 00:56:00,9625,0
2019-09-11 00:57:00,9625,0
2019-09-11 00:58:00,9625,0
2019-09-11 00:59:00,9625,0
2019-09-11 01:00:00,9625,0
2019-09-11 01:01:00,9625,0
2019-09-11 01:02:00,9625,0
2019-09-11 01:03:00,9625,0
2019-09-11 01:04:00,9625,0
2019-09-11 01:05:00,9625,0
2019-09-11 01:06:00,9625,0
2019-09-11 01:07:00,9625,0
2019-09-11 01:08:00,9625,0
2019-09-11 01:09:00,9625,0
2019-09-11 01:10:00,9625,0
2019-09-11 01:11:00,9625,0
2019-09-11 01:12:00,9625,0
2019-09-11 01:13:00,9625,0
2019-09-11 01:14:00,9625,2.75
2019-09-11 01:15:00,9625,2.83
2019-09-11 01:16:00,9625,2.92
2019-09-11 01:17:00,9625,3
2019-09-11 01:18:00,9625,3
2019-09-11 01:19:00,9625,3
2019-09-11 01:20:00,9625,3
2019-09-11 01:21:00,9625,3
2019-09-11 01:22:00,9625,2.87
2019-09-11 01:23:00,9625,2.81
2019-09-11 01:24:00,9625,2.75
2019-09-11 01:25:00,9625,2.75
2019-09-11 01:26:00,9625,2.75
2019-09-11 01:27:00,9625,2.65
2019-09-11 01:28:00,9625,2.75
2019-09-11 01:29:00,9625,2.67
2019-09-11 01:30:00,9625,2.62
2019-09-11 01:31:00,9625,2.62
2019-09-11 01:32:00,9625,2.56
2019-09-11 01:33:00,9625,2.5
2019-09-11 01:34:00,9625,2.5
2019-09-11 01:35:00,9625,2.37
2019-09-11 01:36:00,9625,2.37
2019-09-11 01:37:00,9625,2.37
2019-09-11 01:38:00,9625,2.25
2019-09-11 01:39:00,9625,2.33
2019-09-11 01:40:00,9625,2.35
2019-09-11 01:41:00,9625,2.37
2019-09-11 01:42:00,9625,2.37
2019-09-11 01:43:00,9625,2.37
2019-09-11 01:44:00,9625,2.33
2019-09-11 01:45:00,9625,2.44
2019-09-11 01:46:00,9625,2.44
2019-09-11 01:47:00,9625,2.48
2019-09-11 01:48:00,9625,2.5
2019-09-11 01:49:00,9625,2.48
2019-09-11 01:50:00,9625,2.5
2019-09-11 01:51:00,9625,2.5
2019-09-11 01:52:00,9625,2.5
2019-09-11 01:53:00,9625,2.54
2019-09-11 01:54:00,9625,2.5
2019-09-11 01:55:00,9625,2.6
2019-09-11 01:56:00,9625,2.62
2019-09-11 01:57:00,9625,2.71
2019-09-11 01:58:00,9625,2.75
2019-09-11 01:59:00,9625,2.87
2019-09-11 02:00:00,9625,2.87
2019-09-11 02:01:00,9625,3.04
2019-09-11 02:02:00,9625,3.06
2019-09-11 02:03:00,9625,3.15
2019-09-11 02:04:00,9625,3.12
2019-09-11 02:05:00,9625,3.12
2019-09-11 02:06:00,9625,3.15
2019-09-11 02:07:00,9625,3.1
2019-09-11 02:08:00,9625,2.94
2019-09-11 02:09:00,9625,2.87
2019-09-11 02:10:00,9625,2.87
2019-09-11 02:11:00,9625,2.85
2019-09-11 02:12:00,9625,2.83
2019-09-11 02:13:00,9625,2.75
2019-09-11 02:14:00,9625,2.65
2019-09-11 02:15:00,9625,2.75
2019-09-11 02:16:00,9625,2.75
2019-09-11 02:17:00,9625,2.75
2019-09-11 02:18:00,9625,2.75
